,subject_id,date,lang,level,sequence,response,time,correct
0,ae23,2020/03/13 14:22:47,en,3,"13, 0, 14","13, 0, 14",3.1809015370017732,1
1,ae23,2020/03/13 14:22:47,en,3,"13, 6, 1","13, 6, 1",2.3145357620014693,1
2,ae23,2020/03/13 14:22:47,en,3,"5, 6, 2","5, 6, 2",1.9313675689991214,1
3,ae23,2020/03/13 14:22:47,en,4,"5, 8, 1, 6","5, 8, 1, 6",2.447820272001991,1
4,ae23,2020/03/13 14:22:47,en,4,"6, 12, 5, 2","6, 12, 5, 2",2.681059123999148,1
5,ae23,2020/03/13 14:22:47,en,4,"2, 3, 10, 15","2, 3, 10, 15",2.9810719359993527,1
6,ae23,2020/03/13 14:22:47,en,5,"13, 11, 12, 9, 10","13, 11, 12, 9, 10",3.4491915210019215,1
7,ae23,2020/03/13 14:22:47,en,5,"6, 13, 2, 10, 5","13, 6, 2, 10, 5",4.347777050999866,0
8,ae23,2020/03/13 14:22:47,en,5,"7, 11, 3, 14, 9","7, 3, 11, 9, 14",7.6971650310006225,0
9,ae23,2020/03/13 14:22:47,en,6,"15, 3, 11, 4, 12, 10","15, 3, 11, 4, 12, 10",4.463944654999068,1
10,ae23,2020/03/13 14:22:47,en,6,"6, 3, 2, 10, 8, 15","6, 3, 2, 10, 8, 15",4.997659725999256,1
11,ae23,2020/03/13 14:22:47,en,6,"6, 11, 12, 9, 3, 2","6, 11, 8, 13, 7, 2",7.513775941002677,0
12,ae23,2020/03/13 14:22:47,en,7,"1, 8, 0, 6, 3, 14, 7","5, 1, 0, 8, 3, 7, 2",13.379996111001674,0
13,ae23,2020/03/13 14:22:47,en,7,"15, 12, 6, 1, 14, 11, 5","15, 6, 1, 12, 11, 5, 8",13.613061899002787,0
14,ae23,2020/03/13 14:22:47,en,7,"8, 2, 0, 13, 1, 14, 15","8, 2, 0, 14, 1, 13, 11",5.097549778001849,0
15,ae23,2020/03/13 14:22:47,en,8,"8, 10, 11, 14, 2, 13, 1, 5","8, 10, 11, 2, 13, 1, 5, 0",5.564108738999494,0
16,ae23,2020/03/13 14:22:47,en,8,"3, 15, 7, 9, 2, 14, 13, 8","3, 15, 11, 2, 13, 8, 9, 6",6.230477116998372,0
17,ae23,2020/03/13 14:22:47,en,8,"2, 6, 14, 5, 11, 15, 0, 7","2, 10, 14, 15, 0, 7, 5, 11",8.931202283001767,0
18,ae23,2020/03/13 14:22:47,en,9,"11, 4, 7, 3, 0, 12, 1, 13, 5","11, 4, 7, 3, 12, 0, 1, 5, 13",8.76404199999888,0
19,ae23,2020/03/13 14:22:47,en,9,"14, 13, 11, 5, 15, 8, 0, 3, 9","10, 14, 13, 8, 11, 0, 3, 9, 12",9.5636152449988,0
20,ae23,2020/03/13 14:22:47,en,9,"15, 8, 14, 0, 5, 6, 9, 10, 13","15, 8, 0, 6, 5, 10, 9, 13, 4",12.664956115000678,0
